Name,Location,Study Program,Sector,Affiliation,Rating
Rawalpindi Institute of Technology,"Faizabad Murree Road, Rawalpindi",ICs Computer Science Fsc Pre Engineering FSc Pre Medical,N/A,N/A,0*
"Govt. College of Commerce, Sargodha","Govt. College of Commerce, Sargodha",Icom Dcom ICS FA IT,N/A,N/A,0*
Govt Degree College for Women Mustafabad Lahore,Govt Degree College for Women Mustafabad Lahore,ICS Icom FA FSc Pre Engineering FSc Pre Medical,Public,N/A,0*
"ICMC Group of Colleges, Rawalpindi","273/A-1, Abid Majeed Road, Near MH, Rawalpindi",FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,Private,Federal Board and Punjab University,0*
KIPS Academy Sahiwal,"Stop # 4 house # 102 A-Block officer colony Fareed Town, Sahiwal",FA FSc Pre Engineering FSc Pre Medical FA General Science ICS Computer Science ICom,N/A,N/A,5*
Multan College of Physiotherapy Multan,"Multan Public School Road, Link Bosan Road, Multan",FSc Pre Medical,N/A,N/A,0*
Leadership Colleges Network Rawalpindi,"C-47, Satellite Town, Near Chandani Chowk, Rawalpindi",FA Fsc Pre Engineering ICs Computer Science ICom FSc Pre Medical,Private,BISE Rawalpindi,5*
Islamabad Science School And College Islamabad,"Islamabad Science School And College, 24-26,Nazim un Din Road, F-8/1, Islamabad",FSc Pre-Engineering Fsc Pre-Medical ICS ICom FA FA General Science,Private,N/A,0*
Cadet College Murree,"Cadet College Murree, Kashmir Point Murree Hills",FSc Pre Engineering Fsc Pre Medical ICS ICom,N/A,N/A,0*
Govt Polytechnic Institute Sargodha,PAF Road Sargodha,DAE Civil Technology DAE Electrical Technology DAE Electronics Technology DAE Instrumentation DAE Mechanical Technology DAE Zyx (floating Seats),N/A,N/A,0*
Govt Kulliyat ul Banat Degree College for Women Lahore,Govt Kulliyat ul Banat Degree College for Women Lahore,FA FSc Pre Engineering FSc Pre Medical ICom ICS ,Public,N/A,0*
"Stars Academy Head Office Iqbal Town, Lahore",30-Kashmir Block Allama Iqbal Town Lahore.,FSc Pre Medical FSc Pre Engineering ICS Computer Science ICom FA FSc General Science,Private,N/A,5*
Star Institute Cavalry Ground Campus Head Office Lahore,"Plaza No. 54, First Floor, Cavalry Ground, Lahore, Cantt.",FSc,Private,N/A,2*
Lawrence College Ghora Gali Murree,Lawrence College Ghora Gali Murree,FSc Pre Engineering Fsc Pre Medical FA General Science,N/A,N/A,0*
Madina Group of Colleges Faisalabad,"P-83, Millat Chowk, Sheikhupura Road, Faisalabad.",FA FSc Pre Engineering FSc Pre Medical FA General Science ICS Computer Science ICom,Private,N/A,0*
Superior Group of Colleges Gujrat,"GT Road, Gujrat, ",FSc Pre Engineering Fsc Pre Medical ICS FA ICom,Private,N/A,3*
The Quaid-e-Azam Group of Schools & Colleges Swabi,"Jehangira Road, Panjpir Swabi",FSc Pre Medical Fsc Pre Engineering ICS ICom,Private,N/A,0*
"Faisalabad College of Science & Commerce, Faisalabad",107-C People’s Jaranwala Road Colony Faisalabad,FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,N/A,N/A,0*
Chenab Group of Colleges CGC Rawalpindi,"KRL Road, Khanna Pul, Near Islamabad Expressway, Rawalpindi",FA ICS I.Com FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
Government College For Women Chandni Chowk Sargodha,CHANDNI CHOWK SARGODHA,FA Fsc Pre Medical Fsc pre Engeerning ICs Computer Science,Public,N/A,0*
Govt College of Technology for Women Lytton Road Lahore,"2 - Lytton Road, Lahore",Dcom DDM Dress Designing & Dress Making Electronics Technology CIT Computer Information Technology,N/A,N/A,0*
SKANS School of Accountancy Gujranwala,"Opposite Regional Tax Office, Gulshan Colony, Pindi By Pass G.T. Road, Gujranwala",Icom FA,N/A,N/A,0*
Rawalpindi College of Commerce & Science,"F-746 , Siddiqui Chowk , Satllite Town Rawalpindi",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,N/A,"University of Punjab
 Board of intermediate & Secondary Education, Rawalpindi
 Federal board of intermediate & Secondary Education, Islamabad",3*
"Hamdard College of Science and Commerce, Karachi","Al-Majeed, Hamdard Center, Nazimabad #3, Karachi",FSc Pre Medical Fsc Pre Engineering ICom FA ICs Computer Science,N/A,N/A,0*
Government Bacha Khan Girls Degree College Peshawar,Government Bacha Khan Girls Degree College Peshawar,FA FSc Pre Engineering Fsc Pre Medical ICom FA,Public,N/A,0*
"Delhi Science & Commerce College, Karachi","Karim Abad, Federal B-Area, Karachi",ICs Computer Science FSc Pre Engineering FSc Pre Medical FA,N/A,N/A,5*
Punjab Group of Colleges Hafizabad,55-Gulistan-e-Sultan Gujranwala Road Hafizabad,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,3*
Govt Khawaja Rafique Shaheed College,"Walton Road, Lahore",FSc Pre Medical FSc Pre Engineering ICS ICom FA,Public,N/A,4*
Govt College of Commerce Gujrat,Govt College of Commerce Gujrat,Dcom FA FSc Pre-Engineering FSc Pre-Medical ICS Icom DBA,Public,N/A,0*
Punjab Group of Colleges Wazirabad,G.T Road Bypass Wazirabad,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,1*
Punjab Group of Colleges Rahim Yar Khan,"Khan Pur Road, Rahim Yar Khan",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
Govt College of Commerce Sabzazar Lahore,Sabzazar Lahore,FA ICS I.Com FSc,N/A,N/A,0*
Memona Postgraduate College For Women Multan,"Memona Postgraduate College for Women 32-A, Gulghast Colony Multan City Multan",FSc Pre-Engineering Fsc Pre-Medical FA ICS Computer Science ICom FA General Science ,N/A,N/A,0*
Happy Place Group of Schools HPGS Karachi,"C - 266, 267, 268, Block 10, FB Area, Karachi, ",ICs Computer Science,N/A,N/A,3*
Govt Post Graduate College Bhakkar,"Bhakkar-Darya Khan Rd, Mohalla Chah Chimni, Bhakkar, Punjab",FA Fsc Pre Medical FSc Pre Engineering FA General Science ICs Computer Science,Public,N/A,1.25*
Forward Degree College,"Phase 2, H-3, Hayatabad Abad, Peshawar",FSc Pre Engineering Fsc Pre Medical FSc Computer Science FA,Private,University of PeshawarBISE PeshawarBTE Peshawar,5*
College of Tourism and Hotel Management COTHM Sheikhupura,"14-B Tufail Shaheed Road, Opposite Gulzar-e-Ayesha Park,Civil Lines, Sheikhupura",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,N/A,0*
"Meritorious Science College, Karachi","Block II, P.E.C.H.S",FSc Pre Engineering Fsc Pre Medical ICom A Level,N/A,N/A,0*
Concordia Colleges Gujranwala,"67/Ext -R Lohiawala Canal Bridge, Main G.T Road, Gujranwala",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,5*
"F.G. College of Commerce, Islamabad","H-8/4, Islamabad",Icom FA ICs Computer Science FSc Pre Engineering FSc Pre Medical,N/A,N/A,0*
Pakistan Institute of Public Finance Accountants Islamabad,"SKANS School of Accountancy Firdous Plaza, F-8 Markaz",ICMAP CIMA ACCA ICS&MICSP CIP FA IIA,Private,N/A,0*
"Beachwood College of Physiotherapy, Hyderabad","New Citizen Town, Qasimabad, Hyderabad",FA Fsc Pre Engineering ICom ICS Computer Science FSc Pre Medical,N/A,N/A,4*
Westminster School And College Islamabad,"12 Margalla Road, F-8/3 Islamabad",A Level,N/A,N/A,4*
Sakims College Multan,"Bahadar Pur, Near B.Z University, Bosan Road, Multan",FSc Pre-Medical Fsc Pre-Engineering DAE,N/A,Multan Board,3*
"Jauhar Degree College, Karachi","C-8, Block-14,Gulistan-e-Jauhar, Karachi",ICs Computer Science FSc Pre Engineering FSc Pre Medical FA ICom,N/A,N/A,2*
St Marys College Rawalpindi,"8 Mazhar Qayyum Road, Lalazar Rawalpindi 46000 ",FSc Pre-Medical Fsc Pre-Engineering ICS ICom A Level,N/A,N/A,0*
Capital Degree College Peshawar,"Near Bank Alfalah, Arbab Road Stop, University Road Peshawar.",FSc Pre Medical FSc Pre Engineering DCom ICs Computer Science,Private,N/A,0*
Superior Group of Colleges Bahawalnagar,"Near Shell Petrol Pump, Haroonabad Road, Bahawalnagar",FSc Pre Engineering Fsc Pre Medical ICom ICS FA,Private,N/A,0*
Unique Institute of Technology (UIT) Lahore,107-A Muslim Town Lahore,FSc Pre Medical FSc Pre Engineering ICS ICom FA,N/A,N/A,0*
SKANS School of Accountancy Sialkot,"Commissioner Road opp Allama Iqbal Hospital, Sialkot",CIMA Icom,N/A,N/A,0*
ANSI College of Engineering Technology & Sciences,Nowshera Road Mardan,FSc Pre Medical Fsc Pre Engineering FA ICs Computer Science ICom,Private,N/A,3*
Divisional Model College Faisalabad,"Commissioner Office Road, New Civil Lines, Faislabad",FSc Pre Engineering Fsc Pre Medical FA ICS ICom,Public,N/A,0*
The City College Lahore,"63-C-III, Gulberg III, Near Firdous Market Lahore, .",FSc Pre Medical Fsc Pre Engineering FA General Science ICS ICOM,N/A,"BISE Lahore
Board of Technical Education Lahore
University of the Punjab",0*
Govt Islamia Degree College For Women Hafizabad,Govt Islamia Degree College For Women Hafizabad,FA Icom FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,0*
Govt Taleem ul Islam College Chenab Nagar Rabwah District Chiniot,Govt Taleem-ul-Islam College Chenab Nagar Rabwah District Chiniot,FA FSc Pre Engineering FSc Pre Medical FA General Science ICS Computer Science ICom,Public,N/A,0*
Leadership Colleges Network Multan,"Oppsite Sabzazar Colony, Main Bosan Road, Multan",FA Icom FSc Pre Engineering FSc Pre Medical ICs Computer Science,Private,BISE Multan,0*
Army Public School Faisal,"Block B, SMCHS Karachi",FSc Pre Engineering Fsc Pre Medical ICs Computer Science ICom FA,N/A,N/A,3*
Mansoorah Degree College Lahore,"Mansoorah Degree College, Wahdat Road, Lahore",FA Fsc Pre Medical FSc Pre Engineering ICS I.Com,N/A,"University of the Punjab
Board of Intermediate & Secondary Education Lahore",5*
Punjab Group of Colleges Pattoki,"Mallanwala Chowk Bypass, Main Multan Road Pattoki",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,3*
Pakistan Institute of Public Finance Accountants Lahore,"42, Civic Centre, Barkat Market, New Garden Town",ICS I.com,N/A,N/A,0*
ILM College Gujranwala,"Sheesh Mahal Building, Model Town A Near Small Industries Estate No 1",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,N/A,University of Management & Technology (UMT),5*
Govt Islamia College Chiniot,Chiniot,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0.5*
Govt College for Women Peshawar Road Rawalpindi,Peshawar Road Rawalpindi,FA I.Com ICS FSc Pre Medical FSc Pre Engineering,Private,N/A,2*
College of Tourism and Hotel Management COTHM Sahiwal,"925-B Farid Town, Sahiwal",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,N/A,0*
Govt Post Graduate College Bannu,Govt Post Graduate College Bannu,FA FSc Pre Engineering FSc Pre Medical,Public,N/A,0*
Govt Hashmat Ali Islamia Degree College Rawalpindi,Govt Hashmat Ali Islamia Degree College Rawalpindi,ICS I.Com FA FSc Pre Engineering FSc Pre Medical,Public,N/A,4.25*
Al-Sayed Academy,49 Albak Block Barket Market near NBP Lhr,I.Com,N/A,N/A,1*
Leads Group of Colleges Lahore,"5-Tipu Block, New Garden Town, Near Kalma Chowk Lahore",FSC in Pre-Medical FSc Pre Engineering ICom ICS FA Arts,Private,N/A,0*
Govt Post Graduate College Jaranwala Faisalabad,Faisalabad Road Jaranwala,FA Fsc Pre-Engineering FSc Pre-Medical FA General Science ICom ICS,Public,N/A,4.75*
Govt Vocational Training Institute (W) Sargodha,"Block No. 13, Sargodha",FA FSc Pre-Engineering FSc Pre-Medical ICS ICom,N/A,N/A,0*
Punjab Group of Colleges Kharian,"Bismillah Chowk, G.T Road, Kharian",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science ICom,Private,N/A,4*
Govt Degree College For Women Model Town Dera Ghazi Khan,Govt Degree College For Women Model Town Dera Ghazi Khan,FA FSc Pre-Medical FSc Pre-Engineering ICS FA General Science,Public,N/A,0*
Islamia Girls College Quetta,"Abdul Sattar Rd, Liaquat Bazar, Baldia Town, Quetta, Balochistan",FA Fsc Pre Eng Fsc Pre Medical ICS FSc,Public,N/A,5*
Bilqees Postgraduate College For Women,Rawalpindi,FSc General Science FA,Private,Air University,0*
Wise College for Girls Lahore,"48-Main Gulberg, Lahore",Icom Fsc Pre Engineering FSc Pre Medical ICS FA,N/A,N/A,5*
College of Tourism & Hotel Management COTHM Okara,"22-1, Dar ul Hassan Town, Off Akbar Road, Okara",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,N/A,0*
Punjab Group of Colleges Toba Tek Singh,"Rajiana Road, Opposite Shalimar Town Toba Tek Singh",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science ICom,Private,N/A,4*
KPSI Cadet School & College System Lahore,"19-Km, Ferozepur Road, Lahore, ",FSc Pre Engineering FSc Pre Medical ICs Computer Sciences ICOM FA,N/A,Board of Intermediate and Secondary Education Lahore,0*
Punjab Group of Colleges Jhang,Satellite Town Gojra Road Jhang,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,4*
Zain College Bhakkar,Darya Khan Road Near Bata Store Bhakkar,FSc Pre Engineering Fsc Pre Medical FA ICs Computer Science,Private,N/A,1.25*
"Institute of Textile Technology & Management, Karachi","Plot # H-18, Near S.I.T.E. Stadium, Karahi",DAE in Associate Engineering,N/A,N/A,0*
Superior Group of Colleges Toba Tek Singh,"Main Rajana Road, Barianwala Near S. A Marriage Hall, Toba Tek Singh",FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom FA,Private,N/A,5*
DHA Degree College for Men Karachi,"Kh-e-Rahat, Phase VI, DHA, Karachi",Icom Fsc Pre Engineering FSc Pre Medical FSc Science,N/A,N/A,4*
Fazal E Haq College Mardan,Fazal e Haq College Mardan,FSc Pre Engineering Fsc Pre Medical ICs Computer Science ICom FA,Private,N/A,5*
"Kips Academy Head Office Johar Town, Lahore","30-A, Johar Town, Lahore",FSC ICOM ICS FA,Private,N/A,4*
Peak Solutions,"Zarrar Shaheed Rd, Lahore 54000, ",FSc Pre Engineering FSc Pre Medical FA ICS I.Com,N/A,N/A,3*
Dr A Q Khan School System and College Islamabad,"G-13/4, Main Kashmir Highway, East Service Road, Islamabad.",FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom,N/A,N/A,0*
Institute of Soil & Environmental Sciences,"Institute of Soil and Environmental Sciences, UAF",FSc Pre Agriculture,N/A,N/A,0*
Altus College of Commerce Science & Technology Lahore,56 Lawerence Road Lahore (Near Board's Examination Centre),Icom ICS FA FSc Pre Medical FSc Pre Engineering,N/A,"BISE Lahore 
 University of the Punjab Lahore",5*
Ghazali Institute of Medical Science,New Arab Colony Abdara Chowk University Road Peshawar,FSc Pre Medical Fsc Pre Engineering,Private,University of Peshawar,0*
ICMC Group of Colleges Islamabad,"16-Nazim-ud-Din Road, F-7/1, Islamabad",FA Fsc Pre Engineering FSc Pre-Medical FA General Science ICS ICom,Private,Federal Board and Punjab University,0*
"Pakturk International School & Colleges, Girls Section, Islamabad","625, Sawan Road, G-10/2,Islamabad",FSc Pre Engineering ICs Computer Science FSc Pre Medical ICom FA General Science FA,Private,N/A,0*
Pakistan Institute Of Community Ophthalmology Hayatabad Medical Complex Peshawar,"Post Box 125, GPO Peshawar ",FSc Ophthalmic Technician,N/A,PM&DC,0*
Peshawar City Institute of Modern Sciences (PIMS) Peshawar,"Near Gulbahar Police Station Nishtarabad G.T Road, Peshawar",Dcom DBA DIT,N/A,N/A,0*
Rawal Cadet College Rawalpindi,"Rawal Cadet College, Gulrez-II Rawalpindi",FSc Pre Engineering Fsc Pre Medical  Icom FA ICS Computer Science ,N/A,N/A,0*
Superior Group of Colleges Sheikhupura,"Opposite Frabi College of Commerce Saim Pull Stop, Lahore Shekhupura Road",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Private,N/A,4*
Pakistan Institute of Public Finance Accountants Karachi,"M1-M2, Mezzanine Floor, Park Avenue, 24-A, Block 6, PECHS, Shahra-e-Faisal, Karachi.",ACCA CMA CIMA,N/A,"Pakistan Institute of Public Finance Accountants (PIPFA) is a professional institute, imparting quality of edcuation in the field of Accountancy to develop specialized professional accountants. Being an associate member of International Federation of Accountants (IFAC) its education globally recognized.",0*
"Pakistan Education Foundation College (PEF), Karachi","12-K Block-6, PECHS., Karachi - ",FSc Pre Medical Fsc Pre Egineering ICS Computer Science ICom,N/A,N/A,0*
Pak Turk International School and College Islamabad,"Pak Turk International School & College, 3-Park Road, Near Tarlai (F.A), Islamabad",FA FSc Pre Engineering FSc Pre Medical ICS IComA Level,Private,N/A,0*
Govt Degree College for Boys Shalimar Town China Scheme Lahore,Shalimar Town China Scheme (Gujjar Pura Scheme) Lahore,FA General Science ICom FSc Pre Medical FSc Pre Engineering ICS,N/A,N/A,0*
The Muslim Education System Abbottabad,Mandian Chowk Abbottabad,FA Icom ICs Computer Science FSc Pre Medical FSc Pre Engineering DCom DBA,N/A,N/A,0*
Govt Degree College for Women Dhoke Kala Khan Rawalpindi,Dhoke Kala Khan Rawalpindi,FSc Pre Medical Fsc Pre Engineering I.Com ICS FA,Public,N/A,0*
Acute Business College Sahiwal,"913-D Fareed Town, Sahiwal",ACCA CIMA FIA,N/A,N/A,0*
Punjab College of Informatics Islamabad,Punjab College of Informatics Islamabad,FA ICS ICom FSc Pre Engineering FSc Pre Medical,Private,N/A,4*
School of Business and Management Islamabad,"3rd Floor, Al Rehman Chambers, Blue Area, Islamabad",ACCA CMA CIMA,Private,N/A,0*
"Dewa Academy, Karachi","ST-9, Block-3, Gulshan-e-Iqbal, Karachi",FA ICs Computer Science FSc Pre Engineering FSc Pre Medical,N/A,N/A,0*
Govt Post Graduate College Bahawalnagar,Govt Post Graduate College Bahawalnagar,FA General Science Fsc Pre Engineering FSc Pre Medical ICF A  ICom,Public,N/A,5*
Faran Model College Jhang,"Satelite town, Jhang",FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,Public,N/A,4*
Center for Professional Excellence CPE Rawalpindi,"D-146, Near Midway Centrum, 6th Road, Satellite Town, Rawalpindi.",ACCA CIMA CFA,N/A,N/A,0*
Punjab Group of Colleges Samundri,Main Faisalabad - Samundari Road near Teen Pullian Stop Samundri,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,5*
Punjab Group of Colleges Burewala,Nehar Wala Bangla Azeemabad Burewala,FAFSc Pre Engineering ICom FSc Pre Medical FA General Science ICS Computer Science,Private,N/A,4*
Punjab Group of Colleges Jauharabad,"Mianwali Road, Jauharabad",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,4*
Punjab Group of Colleges Bhakkar,Darya Khan Road Bhakkar,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science ICom,Private,N/A,5*
